,0
0,Garage
1,House
4,Apartment
5,Duplex
6,house
7,Flat
8,Semi-detached
10,Commercial
11,building
12,Industrial
14,Office
16,Prefabricated
17,non-residential
19,Aerodrome
20,runway
21,Asphalt
22,Bridge
23,Elevated
24,highway
25,Overpass
26,Parking
27,lot
28,Repair
29,maintenance
30,roads
31,Road
32,Breakwater
33,Cable
34,Canal
35,Dam
36,Distribution
37,line
38,electricity
39,communication
40,Electrical
41,machinery
42,heavy
43,Electricity
44,power
45,plant
46,Flood
47,control
48,system
49,Furnace
50,Golf
51,course
52,Harbour
53,work
54,Irrigation
56,Jetty
57,Lake
58,Mine
59,site
60,Oil
61,refinery
62,Pile
63,Pipeline
64,Railway
65,permanent
66,way
67,River
69,Sewage
70,stormwater
71,drainage
74,treatment
76,Sports
77,field
78,Swimming
79,pool
80,below
81,ground
82,concrete
83,fibreglass
84,Television
85,radio
86,transmitting
87,tower
88,Tunnel
89,Water
90,filtration
93,tank
94,Land
95,subdivision
96,Demolition
97,buildings
98,other
99,Explosives
100,Ground
102,Removal
103,Trench
104,Concrete
105,footpath
107,foundation
109,kerb
110,and
111,guttering
115,construction
117,kerbs
118,gutters
121,structural
123,block
125,Stonework
127,Metal
128,roof
129,Roof
130,painting
131,spraying
134,silo
136,storage
138,Reinforcing
139,steel
140,Structural
142,Truss
143,joist
145,Welding
148,Drain
150,Gas
151,Guttering
153,installation
154,Hot
155,water
157,Installation
158,domestic
160,recycling
162,installed
163,Septic
165,Solar
166,hot
169,Electric
170,light
172,wiring
176,television
177,antennae
180,satellite
183,electrical
184,Telecommunication
185,cable
186,wire
187,Traffic
188,signal
189,Air
190,conditioning
191,duct
195,equipment
196,Coolroom
197,refrigerator
198,Freezer
199,room
200,Heating
203,heater
204,Refrigeration
206,Ventilation
209,Closed
210,circuit
211,video
212,surveillance
214,Fire
215,alarm
218,sprinkler
221,fire
222,burglar
223,security
225,Security
227,Smoke
228,detector
229,Awning
230,blind
231,shutter
232,Curtain
233,Elevator
234,escalator
235,lift
236,Flywire
237,screen
238,Insulation
239,material
240,Cement
241,rendering
242,Decorative
243,plaster
244,Fibrous
246,fixing
247,Plaster
250,Plasterboard
252,Carpentry
255,Joinery
259,truss
260,wooden
261,Wooden
262,flooring
264,formwork
266,kitchen
267,cabinet
271,Carpet
272,carpet
273,tile
274,Floor
275,covering
276,laying
279,Linoleum
280,linotile
281,Mosaic
284,Slate
286,Terrazzo
287,Wall
289,Painting
292,Spray
296,Window
297,frame
300,insulation
301,Brick
302,Fence
303,Pond
304,Landscape
305,Lawn
306,Retaining
307,wall
308,Rockery
309,Streetscape
310,Construction
312,hiring
313,with
314,Crane
319,cladding
321,to
322,Petrol
323,bowser
324,Sand
325,blasting
326,steam
327,cleaning
329,Scaffolding
330,Waterproofing
2,alteration
3,renovation
18,assembly
21,surfacing
30,bridges
62,driving
95,development
98,structures
100,de-watering
101,clearing
102,overburden
103,digging
112,pumping
115,projects
121,products
124,brickwork
131,coating
132,tiling
134,erection
149,repairing
150,plumbing
153,repair
180,dish
208,n.e.c
224,systems
246,finishing
277,sanding
301,paving
309,planting
313,operator
328,exteriors
